Transaction_ID,Date,Customer_Name,Product/Service,Category,Quantity,Unit_Price,Total_Amount,Discount,Tax_Amount,Net_Revenue,Payment_Mode,Invoice_ID,Status
T0001,2024-10-28,BuildTech Ltd.,Hydraulic Press,Machinery,13,2455,31915,0,5744.7,37659.7,Cash,INV-1001,Pending
T0002,2024-02-18,IronWorks Inc.,Motor Unit,Machinery,6,3201,19206,0,3457.08,22663.08,Bank Transfer,INV-1002,Cancelled
T0003,2024-09-12,Nova Parts,Gear Assembly,Spare Parts,20,2673,53460,0,9622.8,63082.8,Cash,INV-1003,Cancelled
T0004,2024-10-24,BuildTech Ltd.,Welding Machine,Machinery,7,3670,25690,50,4624.2,30264.2,Cash,INV-1004,Paid
T0005,2024-10-17,EcoForge Systems,Gear Assembly,Spare Parts,6,3425,20550,100,3699,24149,Credit Card,INV-1005,Pending
T0006,2024-12-16,Apex Motors,Hydraulic Press,Machinery,19,3448,65512,150,11792.16,77154.16,UPI,INV-1006,Cancelled
T0007,2024-12-25,Nova Parts,Welding Machine,Machinery,15,1728,25920,0,4665.6,30585.6,Bank Transfer,INV-1007,Paid
T0008,2024-03-22,EcoForge Systems,Cooling Fan,Spare Parts,10,4773,47730,50,8591.4,56271.4,UPI,INV-1008,Pending
T0009,2024-05-13,Apex Motors,Motor Unit,Machinery,1,1872,1872,100,336.96,2108.96,Credit Card,INV-1009,Paid
T0010,2024-08-28,Nova Parts,Motor Unit,Machinery,10,4408,44080,150,7934.4,51864.4,Credit Card,INV-1010,Pending
T0011,2024-02-11,Nova Parts,Cooling Fan,Spare Parts,12,1928,23136,0,4164.48,27300.48,Credit Card,INV-1011,Paid
T0012,2024-12-04,Nova Parts,Welding Machine,Machinery,17,1989,33813,100,6086.34,39799.34,UPI,INV-1012,Cancelled
T0013,2024-09-18,EcoForge Systems,Cooling Fan,Spare Parts,14,4128,57792,150,10402.56,68044.56,Bank Transfer,INV-1013,Pending
T0014,2024-07-07,Nova Parts,Cooling Fan,Spare Parts,9,4512,40608,0,7309.44,47917.44,Cash,INV-1014,Pending
T0015,2024-03-09,IronWorks Inc.,Motor Unit,Machinery,7,3911,27377,0,4927.86,32304.86,UPI,INV-1015,Paid
T0016,2024-04-03,Nova Parts,Motor Unit,Machinery,17,847,14399,150,2591.82,16840.82,UPI,INV-1016,Pending
T0017,2024-03-30,IronWorks Inc.,Hydraulic Press,Machinery,18,3540,63720,0,11469.6,75189.6,Credit Card,INV-1017,Pending
T0018,2024-02-10,EcoForge Systems,Welding Machine,Machinery,10,4865,48650,100,8757,57307,UPI,INV-1018,Pending
T0019,2024-05-28,EcoForge Systems,Hydraulic Press,Machinery,1,1196,1196,0,215.28,1411.28,Cash,INV-1019,Pending
T0020,2024-03-31,EcoForge Systems,Cooling Fan,Spare Parts,9,767,6903,100,1242.54,8045.54,Credit Card,INV-1020,Paid
T0021,2024-04-06,Apex Motors,Hydraulic Press,Machinery,14,1054,14756,100,2656.08,17312.08,Cash,INV-1021,Paid
T0022,2024-11-07,Nova Parts,Gear Assembly,Spare Parts,18,638,11484,100,2067.12,13451.12,Credit Card,INV-1022,Pending
T0023,2024-05-14,IronWorks Inc.,Gear Assembly,Spare Parts,2,1234,2468,100,444.24,2812.24,Cash,INV-1023,Pending
T0024,2024-09-11,EcoForge Systems,Gear Assembly,Spare Parts,17,2089,35513,0,6392.34,41905.34,Bank Transfer,INV-1024,Cancelled
T0025,2024-11-17,EcoForge Systems,Cooling Fan,Spare Parts,16,3954,63264,100,11387.52,74551.52,UPI,INV-1025,Paid
T0026,2024-09-15,IronWorks Inc.,Motor Unit,Machinery,18,1971,35478,0,6386.04,41864.04,Cash,INV-1026,Cancelled
T0027,2024-06-21,EcoForge Systems,Motor Unit,Machinery,19,504,9576,0,1723.68,11299.68,Bank Transfer,INV-1027,Paid
T0028,2024-05-15,EcoForge Systems,Welding Machine,Machinery,12,2939,35268,50,6348.24,41566.24,Cash,INV-1028,Pending
T0029,2024-01-14,EcoForge Systems,Hydraulic Press,Machinery,19,1651,31369,150,5646.42,36865.42,Credit Card,INV-1029,Paid
T0030,2024-11-22,Apex Motors,Welding Machine,Machinery,9,4781,43029,0,7745.22,50774.22,Credit Card,INV-1030,Cancelled
T0031,2024-01-06,BuildTech Ltd.,Motor Unit,Machinery,19,4513,85747,50,15434.46,101131.46,Credit Card,INV-1031,Pending
T0032,2024-04-11,EcoForge Systems,Gear Assembly,Spare Parts,15,4118,61770,0,11118.6,72888.6,Credit Card,INV-1032,Paid
T0033,2024-07-17,Nova Parts,Cooling Fan,Spare Parts,13,3047,39611,0,7129.98,46740.98,Bank Transfer,INV-1033,Paid
T0034,2024-02-22,Nova Parts,Motor Unit,Machinery,2,1126,2252,150,405.36,2507.36,Cash,INV-1034,Paid
T0035,2024-10-01,Nova Parts,Welding Machine,Machinery,12,1079,12948,100,2330.64,15178.64,UPI,INV-1035,Cancelled
T0036,2024-03-18,Nova Parts,Welding Machine,Machinery,20,3026,60520,0,10893.6,71413.6,Cash,INV-1036,Paid
T0037,2024-01-24,EcoForge Systems,Cooling Fan,Spare Parts,16,4442,71072,0,12792.96,83864.96,Credit Card,INV-1037,Pending
T0038,2024-11-25,IronWorks Inc.,Hydraulic Press,Machinery,3,3500,10500,50,1890,12340,Credit Card,INV-1038,Paid
T0039,2024-03-05,Apex Motors,Motor Unit,Machinery,12,2972,35664,100,6419.52,41983.52,Bank Transfer,INV-1039,Cancelled
T0040,2024-04-15,IronWorks Inc.,Gear Assembly,Spare Parts,3,4166,12498,0,2249.64,14747.64,Bank Transfer,INV-1040,Paid
T0041,2024-05-01,Apex Motors,Cooling Fan,Spare Parts,1,3982,3982,150,716.76,4548.76,Bank Transfer,INV-1041,Pending
T0042,2024-10-31,IronWorks Inc.,Cooling Fan,Spare Parts,15,2784,41760,150,7516.8,49126.8,Credit Card,INV-1042,Paid
T0043,2024-10-01,Apex Motors,Welding Machine,Machinery,16,2671,42736,0,7692.48,50428.48,UPI,INV-1043,Cancelled
T0044,2024-03-17,Apex Motors,Cooling Fan,Spare Parts,19,1454,27626,50,4972.68,32548.68,Cash,INV-1044,Pending
T0045,2024-09-12,EcoForge Systems,Cooling Fan,Spare Parts,12,1650,19800,150,3564,23214,Bank Transfer,INV-1045,Cancelled
T0046,2024-09-18,Nova Parts,Motor Unit,Machinery,3,4840,14520,0,2613.6,17133.6,Credit Card,INV-1046,Pending
T0047,2024-05-20,Apex Motors,Gear Assembly,Spare Parts,13,4572,59436,100,10698.48,70034.48,Bank Transfer,INV-1047,Paid
T0048,2024-07-27,EcoForge Systems,Cooling Fan,Spare Parts,8,3122,24976,0,4495.68,29471.68,Bank Transfer,INV-1048,Paid
T0049,2024-10-04,BuildTech Ltd.,Gear Assembly,Spare Parts,15,4444,66660,0,11998.8,78658.8,UPI,INV-1049,Cancelled
T0050,2024-12-12,Apex Motors,Motor Unit,Machinery,19,697,13243,0,2383.74,15626.74,Credit Card,INV-1050,Paid